79,932,338,594,932,3?8
37,552,42,510,55?,42
173,689,289,400,689,2??
182,540,209,331,54?,20?
23,820,520,300,8??,52?
149,800,600,200,80?,6??
164,245,145,100,245,1??
88,464,369,95,464,3?9
7,94,4,90,?9?,?04
95,99,9,90,99,0?
50,90,9,81,9?,0?
83,90,9,81,?9?,?0?
113,990,909,81,99?,?0?
32,90,39,51,?9?,?3?
145,70,19,51,?7?,?1?
191,60,9,51,?6?,?0?
193,80,29,51,?8?,?2?
66,90,49,41,?9?,?4?
148,50,9,41,?5?,?0?
172,80,39,41,?8?,?3?
189,60,19,41,?6?,?1?
192,70,29,41,?7?,?2?
60,856,816,40,?56,81?
24,40,9,31,?4?,?0?
53,60,29,31,?6?,?2?
61,90,59,31,?9?,?5?
69,80,49,31,?8?,?4?
150,50,19,31,?5?,?1?
180,70,39,31,?7?,?3?
147,45,25,20,?4?,?25
195,158,138,20,?5?,138
92,737,727,10,?3?,727
6,9,0,9,?9,?0
28,909,900,9,9?9,??0
38,99,90,9,99,?0
101,99,90,9,?99,??0
90,609,601,8,??9,6?1
130,318,310,8,3?8,?10
184,159,151,8,?59,1?1
76,807,800,7,8?7,??0
119,605,598,7,6?5,5?8
128,507,500,7,??7,5?0
74,407,401,6,??7,4?1
125,549,543,6,??9,543
198,998,992,6,9?8,?92
4,5,0,5,?5,?0
9,98,93,5,?98,??3
22,15,10,5,?5,10
26,6,1,5,??6,??1
129,998,993,5,9?8,?93
176,98,93,5,?8,93
124,99,95,4,99,?5
142,9,5,4,?9,?5
77,95,92,3,??5,92
17,604,602,2,??4,6?2
153,904,902,2,9?4,??2
174,96,94,2,??6,?94
183,292,291,1,?92,291
187,165,164,1,1?5,?64
2,23,23,0,?2?,??3
3,0,0,0,?,?
10,142,142,0,??2,14?
11,503,503,0,503,???
12,7,7,0,???,??7
13,902,902,0,???,9?2
15,99,99,0,??,99
16,392,392,0,3??,?92
18,99,99,0,99,??
19,9,9,0,??,?9
29,708,708,0,??8,7??
30,6,6,0,???,??6
33,760,760,0,?6?,7??
35,48,48,0,?4?,?48
36,4,4,0,???,??4
39,99,99,0,99,9?
40,95,95,0,?5,9?
41,31,31,0,?31,???
42,30,30,0,??0,?3?
46,940,940,0,?4?,9??
48,0,0,0,??,?0
49,9,9,0,?9,0?
51,5,5,0,?5,0?
52,901,901,0,???,9?1
55,0,0,0,0?,?0
57,32,32,0,??2,03?
58,732,732,0,7?2,?3?
63,270,270,0,27?,???
64,0,0,0,?0,0?
72,0,0,0,?,0
73,90,90,0,??,9?
80,85,85,0,??5,08?
82,0,0,0,?0,??
84,360,360,0,?6?,3??
86,0,0,0,0,?
89,95,95,0,9?,?5
91,47,47,0,???,?47
93,99,99,0,9?,99
94,89,89,0,?8?,??9
96,5,5,0,???,??5
97,99,99,0,99,?9
98,9,9,0,9,?
99,429,429,0,?2?,4?9
100,99,99,0,?9,99
102,199,199,0,?99,1??
108,30,30,0,?3?,???
109,28,28,0,?2?,??8
112,90,90,0,9?,?0
115,0,0,0,0?,??
116,90,90,0,?9?,???
117,17,17,0,?17,???
122,318,318,0,318,??8
131,9,9,0,???,??9
132,98,98,0,???,?98
133,189,189,0,1??,?89
134,579,579,0,?7?,5?9
136,9,9,0,0?,?9
137,50,50,0,?5?,???
138,850,850,0,?50,8??
139,500,500,0,5??,??0
140,103,103,0,??3,1?3
143,99,99,0,9?,?9
144,99,99,0,?9,9?
151,0,0,0,???,???
154,16,16,0,???,?16
155,5,5,0,5,?
157,0,0,0,??,??
158,0,0,0,??0,???
160,18,18,0,???,?18
161,9,9,0,?9,??
162,39,39,0,0??,?39
166,3,3,0,??3,???
167,517,517,0,?17,5??
168,5,5,0,??,?5
169,5,5,0,?,5
171,90,90,0,9?,??
177,5,5,0,0?,?5
178,90,90,0,?0,9?
179,452,452,0,?5?,4?2
181,9,9,0,?,9
185,0,0,0,??,0?
188,5,5,0,?5,??
194,806,806,0,8??,??6
1,19,20,-1,1?,2?
67,92,93,-1,?92,??3
56,321,323,-2,321,??3
62,5,9,-4,?5,?9
68,95,99,-4,?5,99
20,202,207,-5,2?2,??7
25,496,501,-5,4?6,5?1
34,993,998,-5,?93,9?8
44,93,98,-5,??3,?98
78,93,98,-5,93,?8
81,0,5,-5,?0,?5
85,10,15,-5,10,?5
106,92,98,-6,??2,?98
111,992,998,-6,?92,9?8
59,13,21,-8,?13,?21
70,20,28,-8,?20,??8
47,90,99,-9,??0,?99
118,0,9,-9,?0,?9
120,0,9,-9,??0,??9
196,900,909,-9,??0,9?9
197,90,99,-9,?0,99
114,67,77,-10,06?,?77
163,987,997,-10,987,?9?
199,922,952,-30,922,?52
43,59,90,-31,?5?,?9?
75,39,70,-31,?3?,?7?
104,9,40,-31,?0?,?4?
127,19,50,-31,?1?,?5?
135,29,60,-31,?2?,?6?
165,49,80,-31,?4?,?8?
31,39,80,-41,?3?,?8?
105,19,60,-41,?1?,?6?
110,49,90,-41,?4?,?9?
121,9,50,-41,?0?,?5?
170,29,70,-41,?2?,?7?
45,15,65,-50,?1?,?65
126,621,671,-50,?21,67?
65,39,90,-51,?3?,?9?
146,29,80,-51,?2?,?8?
156,19,70,-51,?1?,?7?
175,9,60,-51,?0?,?6?
14,808,868,-60,?0?,868
152,2,66,-64,?02,?66
103,228,298,-70,?2?,298
21,9,90,-81,0?,9?
71,909,990,-81,?0?,99?
186,302,392,-90,?02,39?
200,9,99,-90,0?,99
190,807,907,-100,8?7,90?
87,819,999,-180,81?,999
8,290,502,-212,2?0,5?2
5,390,700,-310,3??,7??
123,560,919,-359,56?,91?
27,367,767,-400,3?7,76?
54,190,600,-410,1??,6?0
141,443,943,-500,4??,943
159,384,984,-600,3?4,984
107,99,909,-810,0??,9?9
